,hour,bubble
0,0,0.002524977293369756
1,1,0.0016250993975904114
2,2,-0.0014194722474976398
3,3,0.00191830559757934
4,4,-0.000603318181818204
5,5,-0.0026503263825929354
6,6,-0.003568334844363906
7,7,0.0026576168929109863
8,8,-0.0016666666666665534
9,9,-0.0017541528239203585
10,10,-0.0025477660217653954
11,11,6.918429003030491e-05
12,12,0.001969829799940258
13,13,0.002293381785820331
14,14,0.004538461538461685
15,15,0.002987000592768321
16,16,0.00229287448194201
17,17,0.0030285240071133927
18,18,-0.0021942380952380785
19,19,-0.0026753607632677475
20,20,0.003966829919857576
21,21,-0.002961342523224455
22,22,0.0018332497761862528
23,23,-0.003931742514970013
24,24,0.002148655110579997
25,25,0.0032952095808384233
26,26,-0.0021999667070219057
27,27,-0.002755414012738864
28,28,-0.0025320630112087303
29,29,-0.003301829748560965
30,30,0.0037463573155986094
31,31,-0.0028724840957286787
32,32,-0.0021678601567211415
33,33,0.004165666266506558
34,34,-0.0038062417118746887
35,35,-0.001308980144404333
36,36,-0.003030180995474962
37,37,0.002208605697151605
38,38,-0.003414781297134269
39,39,-0.00571428571428572
40,40,0.003593244972577734
41,41,0.0025124570024570767
42,42,-0.0005053929121724222
43,43,-0.0031951248073958335
44,44,0.0018072472594395585
45,45,-0.0031528418476596794
46,46,-0.0022803795531066698
47,47,-0.006392669322709068
48,48,-0.0031300648949320643
49,49,-0.0032750617283950835
50,50,-0.0016362530413625797
51,51,-0.01938767830045516
52,52,0.005086546953193888
53,53,-0.0031559033989264876
54,54,0.003431959679810105
55,55,-0.0032558928571427763
56,56,-0.004924682984370381
57,57,0.005651681210005755
58,58,-0.0027667596125623977
59,59,0.00278665790242486
60,60,0.007051244509516934
61,61,0.005226035745678466
62,62,0.003103396890583705
63,63,-0.010559417304296718
64,64,-0.002981165048543626
65,65,0.0015917047451669598
66,66,0.003958511695906422
67,67,-0.0012352094395280608
68,68,-0.0036678992592592556
69,69,-0.0022604244582962066
70,70,0.0016406890510948411
71,71,-0.002785754716981181
72,72,-0.004328205128205236
73,73,-0.0029128276269185555
74,74,-0.0006439552678046805
75,75,0.0018743100411039897
76,76,0.003522541176470438
77,77,-0.002140961368327997
78,78,0.0025599530516432286
79,79,0.003040798356324995
80,80,-0.002532995283018963
81,81,-0.004439599646747322
82,82,-0.003965101860052976
83,83,-0.0018012422360248438
84,84,0.0025040872898847463
85,85,-0.0026759526627218896
86,86,-0.0025906812149809172
87,87,-0.002583139911634943
88,88,0.002349912229373931
89,89,0.0062012248468940835
90,90,0.0038711721718797712
91,91,-0.0030904545454544046
92,92,0.0028798952879581386
93,93,-0.0011573288668802056
94,94,0.0023939042089984376
95,95,0.004040626813697074
96,96,-0.004865759162303733
97,97,0.0020165000000002
98,98,-0.0023557456647398797
99,99,-0.0011521110468479536
100,100,0.0010230547550432395
101,101,-0.003478602367889344
102,102,-0.0025742345465048504
103,103,0.002446624350836601
104,104,0.002356695652173963
105,105,-0.0032898429776097374
106,106,0.003194444444444508
107,107,-0.0009354453147665698
108,108,0.0024309201038361676
109,109,-0.0008120649651972406
110,110,0.0021118576736210283
111,111,-0.0025372706422017778
112,112,0.001890978168414898
113,113,0.0012461209355389329
114,114,-0.0024885738831614194
115,115,0.0021706201771934126
116,116,-0.005038590448625048
117,117,-0.0025773618016962235
118,118,0.0014836413514294447
119,119,-0.0044809072404766335
120,120,0.003739517934002735
121,121,-0.007038690783806933
122,122,0.005248306997742701
123,123,0.0023158619718310013
124,124,-0.002659858156028327
125,125,-0.0015279447765442283
126,126,-0.0015427861832713833
127,127,0.001927121126760734
128,128,-0.0026087803500846065
129,129,-0.0014018262806235861
130,130,-0.0020069972144847394
131,131,0.0028797804610318244
132,132,0.00888627021101677
133,133,0.002502348715114665
134,134,-0.0024416037999440785
135,135,0.0016920353982300975
136,136,-0.0042220233463034045
137,137,0.0025581395348837754
138,138,0.0019059234792180846
139,139,-0.0020000000000001236
140,140,0.007915125136017389
141,141,0.010128142741281355
142,142,-0.004142219804134871
143,143,0.01890756302521008
144,144,0.004209258373205783
145,145,0.003058510638297902
146,146,-0.0013217064663268042
147,147,-0.004368905742145312
148,148,-0.0016192044228695132
149,149,-0.001744302575107267
150,150,-0.00361979133226314
151,151,-0.00938655237074739
152,152,-0.0014291497975709624
153,153,-0.0008177063726810279
154,154,-0.0061026769970611945
155,155,-0.005388994307400341
156,156,-0.0035694238683128244
157,157,-0.0007761532147742544
158,158,-0.008089890470974664
159,159,-0.01702096481583302
160,160,-0.005312617943823326
161,161,-0.018119400324148903
162,162,-0.004393211282885762
163,163,0.010394494382022536
164,164,-0.011182098092643292
165,165,-0.009229335520918688
166,166,0.01574732311003493
167,167,-0.02755700325732889
168,168,-0.007196312000000018
169,169,-0.009624624671916103
170,170,-0.006397102952912976
171,171,0.0033191250656859485
172,172,0.0026610934182591164
173,173,0.00402493407172987
174,174,-0.004014487145507729
175,175,0.005834290558163766
176,176,-0.0038349540078843076
177,177,0.003772256728778352
178,178,0.004399999999999933
179,179,-0.0037338965153112563
180,180,-0.013739601593625507
181,181,-0.006071849865951728
182,182,0.005294304635761609
183,183,0.009925881251671723
184,184,0.006099863908546303
185,185,-0.003887953922106362
186,186,-0.006820920907079632
187,187,-0.010754189944134069
188,188,-0.007786783042393926
189,189,0.0025471440284230346
190,190,-0.003698261589404032
191,191,-0.0073455759599331686
192,192,0.004394709606385818
193,193,-0.0033287178067019016
194,194,0.00443698865208961
195,195,-0.006510745185598561
196,196,-0.0037553072625698177
197,197,0.005028596881959836
